电影名字,别名,电影链接,导演,主演,年份,国家,类型,评分,星级,评价人数,评论
射雕英雄传之东成西就,射鵰英雄傳之東成西就,https://movie.douban.com/subject/1316510/,刘镇伟JeffreyLau,梁朝伟TonyLeungChiuWai,1993,中国香港,喜剧奇幻武侠古装,8.7,4.0,628901,百看不厌。 
喜宴,囍宴,https://movie.douban.com/subject/1303037/,李安AngLee,赵文瑄WinstonChao,1993,中国台湾美国,剧情喜剧爱情同性家庭,9.0,4.5,356497,中国家庭的喜怒哀乐忍。
头号玩家,Ready Player One,https://movie.douban.com/subject/4920389/,史蒂文·斯皮尔伯格StevenSpielberg,泰伊·谢里丹TyeSheri,2018,美国,动作科幻冒险,8.7,4.0,1351444,写给影迷，动漫迷和游戏迷的一封情书。
模仿游戏,The Imitation Game,https://movie.douban.com/subject/10463953/,莫滕·泰杜姆MortenTyldum,本尼迪克特·康伯巴奇BenedictC,2014,英国美国,剧情传记战争同性,8.8,4.0,638085,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
阳光姐妹淘,써니,https://movie.douban.com/subject/4917726/,姜炯哲Hyeong-CheolKang,沈恩京Eun-kyungShim,2011,韩国,剧情喜剧,8.8,4.0,585518,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
我是山姆,I Am Sam,https://movie.douban.com/subject/1306861/,杰茜·尼尔森JessieNelson,SeanPenn,2001,美国,剧情家庭,9.0,4.5,333601,爱并不需要智商 。
茶馆,The Teahouse,https://movie.douban.com/subject/1461403/,谢添TianXie,于是之ShizhiYu,1982(中国大陆),中国大陆,剧情历史,9.6,4.5,139781,无
九品芝麻官,九品芝麻官之白面包青天,https://movie.douban.com/subject/1297518/,王晶JingWong,周星驰StephenChow,1994,中国香港中国大陆,剧情喜剧古装,8.7,4.0,666014,无
花样年华,花樣年華,https://movie.douban.com/subject/1291557/,王家卫KarWaiWong,梁朝伟TonyLeungChiuWai,2000,中国香港,剧情爱情,8.7,4.0,598119,偷情本没有这样美。
恐怖直播,더 테러 라이브,https://movie.douban.com/subject/21360417/,金秉祐Byeong-wooKim,河正宇Jung-wooHa,2013,韩国,剧情犯罪悬疑,8.7,4.0,643846,恐怖分子的“秋菊打官司”。
血战钢锯岭,Hacksaw Ridge,https://movie.douban.com/subject/26325320/,梅尔·吉布森MelGibson,安德鲁·加菲尔德AndrewGarfield,2016,澳大利亚美国,剧情传记历史战争,8.7,4.0,774823,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
色，戒,色|戒,https://movie.douban.com/subject/1828115/,李安AngLee,梁朝伟TonyLeungChiuWai,2007,中国台湾中国大陆美国中国香港,剧情爱情情色,8.7,4.0,792302,假戏真情，爱欲深海
七武士,七人の侍,https://movie.douban.com/subject/1295399/,黑泽明AkiraKurosawa,三船敏郎ToshirôMifune,1954,日本,动作冒险剧情,9.3,4.5,195041,时代悲歌。
头脑特工队,Inside Out,https://movie.douban.com/subject/10533913/,彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen&nb...+2015/美国/喜剧动画冒险,无,2015,美国,喜剧动画冒险,8.8,4.0,601920,愿我们都不用长大，每一座城堡都能永远存在。
惊魂记,Psycho,https://movie.douban.com/subject/1293181/,阿尔弗雷德·希区柯克AlfredHitchcock,安东尼·博金斯Antho,1960,美国,悬疑惊悚恐怖,9.0,4.5,287852,故事的反转与反转，分裂电影的始祖。
黑客帝国3：矩阵革命,The Matrix Revolutions,https://movie.douban.com/subject/1302467/,拉娜·沃卓斯基LanaWachowski/莉莉·沃卓斯基LillyWachowski...+2003/美国/动作科幻,无,2003,美国,动作科幻,8.8,4.0,441523,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你的名字。,君の名は。,https://movie.douban.com/subject/26683290/,新海诚MakotoShinkai,神木隆之介RyûnosukeKamiki,2016,日本,剧情爱情动画,8.5,4.0,1389180,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
电锯惊魂,Saw,https://movie.douban.com/subject/1417598/,詹姆斯·温JamesWan,雷·沃纳尔LeighWhannell,2004,美国,悬疑惊悚恐怖,8.8,4.0,524493,真相就在眼前。
三块广告牌,"Three Billboards Outside Ebbing, Missouri",https://movie.douban.com/subject/26611804/,马丁·麦克唐纳MartinMcDonagh,弗兰西斯·麦克多蒙德France,2017,英国美国,剧情犯罪,8.7,4.0,811161,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,Dallas Buyers Club,https://movie.douban.com/subject/1793929/,让-马克·瓦雷Jean-MarcVallée,马修·麦康纳MatthewMcCon,2013,美国,剧情传记同性,8.8,4.0,446968,Jared Leto的腿比女人还美！
疯狂原始人,The Croods,https://movie.douban.com/subject/1907966/,科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders,无,2013,美国,喜剧动画冒险,8.7,4.0,828576,老少皆宜，这就是好莱坞动画的魅力。
心迷宫,殡棺,https://movie.douban.com/subject/25917973/,忻钰坤YukunXin,霍卫民WeiminHuo,2014,中国大陆,剧情犯罪悬疑,8.7,4.0,513002,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
谍影重重3,The Bourne Ultimatum,https://movie.douban.com/subject/1578507/,保罗·格林格拉斯PaulGreengrass,马特·达蒙MattDamon,2007,美国德国法国英国,动作悬疑惊悚,8.8,4.0,412722,像吃了苏打饼一样干脆的电影。
上帝之城,Cidade de Deus,https://movie.douban.com/subject/1292208/,费尔南多·梅里尔斯FernandoMeirelles/卡迪亚·兰德KátiaLund&nbsp...+2002/巴西法国/犯罪剧情,无,2002,巴西法国,犯罪剧情,9.0,4.5,298411,被上帝抛弃了的上帝之城。
英雄本色,A Better Tomorrow,https://movie.douban.com/subject/1297574/,吴宇森JohnWoo,周润发Yun-FatChow,1986,中国香港,剧情动作犯罪,8.6,4.0,532478,英雄泪短，兄弟情长。 
卢旺达饭店,Hotel Rwanda,https://movie.douban.com/subject/1291822/,特瑞·乔治TerryGeorge,唐·钱德尔DonCheadle,2004,英国南非意大利美国,剧情传记历史战争,8.9,4.0,325622,当这个世界闭上双眼，他却敞开了怀抱。
纵横四海,緃横四海,https://movie.douban.com/subject/1295409/,吴宇森JohnWoo,周润发Yun-FatChow,1991,中国香港,剧情喜剧动作犯罪,8.8,4.0,419521,香港浪漫主义警匪动作片的巅峰之作。
风之谷,風の谷のナウシカ,https://movie.douban.com/subject/1291585/,宫崎骏HayaoMiyazaki,岛本须美SumiShimamoto,1984,日本,动画奇幻冒险,8.9,4.0,350336,动画片的圣经。
海街日记,海街diary,https://movie.douban.com/subject/25895901/,是枝裕和HirokazuKoreeda,绫濑遥HarukaAyase,2015,日本,剧情家庭,8.8,4.0,441594,是枝裕和的家庭习作。
爱在午夜降临前,Before Midnight,https://movie.douban.com/subject/10808442/,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2013,美国希腊,剧情爱情,8.9,4.0,395471,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
绿里奇迹,The Green Mile,https://movie.douban.com/subject/1300374/,弗兰克·德拉邦特FrankDarabont,汤姆·汉克斯TomHanks,1999,美国,犯罪剧情奇幻悬疑,8.9,4.0,324374,天使暂时离开。
记忆碎片,Memento,https://movie.douban.com/subject/1304447/,克里斯托弗·诺兰ChristopherNolan,盖·皮尔斯GuyPearce,2000,美国,犯罪剧情悬疑惊悚,8.7,4.0,593269,一个针管引发的血案。
岁月神偷,歲月神偷,https://movie.douban.com/subject/3792799/,罗启锐AlexLaw,吴君如SandraNg,2010,中国香港中国大陆,剧情家庭,8.7,4.0,569506,岁月流逝，来日可追。
忠犬八公物语,ハチ公物語,https://movie.douban.com/subject/1959195/,神山征二郎SeijirôKôyama,仲代达矢TatsuyaNakadai,1987,日本,剧情,9.2,4.5,193261,养狗三日，便会对你终其一生。
疯狂的石头,Crazy Stone,https://movie.douban.com/subject/1862151/,宁浩HaoNing,郭涛TaoGuo,2006,中国大陆中国香港,喜剧犯罪,8.6,4.0,809531,中国版《两杆大烟枪》。
荒蛮故事,Relatos salvajes,https://movie.douban.com/subject/24750126/,达米安·斯兹弗隆DamiánSzifron,达里奥·葛兰帝内提Darío,2014,阿根廷西班牙,剧情喜剧犯罪,8.8,4.0,437953,始于荒诞，止于更荒诞。
雨中曲,Singin' in the Rain,https://movie.douban.com/subject/1293460/,斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly,吉恩·,1952,美国,喜剧歌舞爱情,9.1,4.5,221303,骨灰级歌舞片。
小偷家族,万引き家族,https://movie.douban.com/subject/27622447/,是枝裕和HirokazuKoreeda,中川雅也LilyFranky,2018,日本,剧情犯罪家庭,8.7,4.0,803939,我们组成了家。
2001太空漫游,2001: A Space Odyssey,https://movie.douban.com/subject/1292226/,斯坦利·库布里克StanleyKubrick,凯尔·杜拉KeirDullea,1968,英国美国,科幻惊悚冒险,8.9,4.0,321700,现代科幻电影的开山之作，最伟大导演的最伟大影片。
爆裂鼓手,Whiplash,https://movie.douban.com/subject/25773932/,达米恩·查泽雷DamienChazelle,迈尔斯·特勒MilesTeller,2014,美国,剧情音乐,8.7,4.0,580220,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
小丑,Joker,https://movie.douban.com/subject/27119724/,托德·菲利普斯ToddPhillips,杰昆·菲尼克斯JoaquinPhoeni,2019,美国加拿大,剧情犯罪惊悚,8.7,4.0,991744,无
背靠背，脸对脸,背对背，脸对脸,https://movie.douban.com/subject/1307856/,黄建新JianxinHuang/杨亚洲YazhouYang,牛振华ZhenhuaN,1994,中国大陆中国香港,剧情,9.5,4.5,129083,无
无敌破坏王,Wreck-It Ralph,https://movie.douban.com/subject/6534248/,瑞奇·莫尔RichMoore,约翰·C·赖利JohnC.Reilly,2012,美国,喜剧动画奇幻冒险,8.7,4.0,529666,迪士尼和皮克斯拿错剧本的产物。
无间道2,無間道II,https://movie.douban.com/subject/1307106/,刘伟强/麦兆辉,陈冠希EdisonChen,2003,中国香港,剧情犯罪惊悚,8.7,4.0,469934,无
贫民窟的百万富翁,Slumdog Millionaire,https://movie.douban.com/subject/2209573/,丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan,戴夫,2008,英国,剧情爱情,8.6,4.0,737395,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
